order_id;order_quantity;item_price;order_value;order_line_nuber;order_date;days_since_last_order;order_status;address_id;customer_id;product_id
10374;39;135590;5288010;5;02.02.2020;190;Shipped;27;27;48
10339;40;68920;2756800;4;23.11.2019;259;Shipped;34;34;48
10210;23;130830;3009090;2;12.01.2019;563;Shipped;43;43;48
10236;22;129640;2852080;1;03.04.2019;484;Shipped;44;44;48
10298;39;96340;3757260;1;27.09.2019;312;Shipped;45;45;48
10308;34;118940;4043960;2;15.10.2019;295;Shipped;46;46;48
10107;27;224650;6065550;4;24.02.2018;902;Shipped;1;1;50
10134;31;226580;7023980;4;01.07.2018;777;Shipped;3;3;50
10145;33;156860;5176380;8;25.08.2018;723;Shipped;4;4;50
10168;20;209150;4183000;3;28.10.2018;660;Shipped;5;5;50
10180;41;216900;8892900;11;11.11.2018;647;Shipped;6;6;50
10188;45;193660;8714700;3;18.11.2018;641;Shipped;7;7;50
10120;46;201410;9264860;2;29.04.2018;839;Shipped;9;9;50
10223;49;199470;9774030;3;20.02.2019;549;Shipped;9;9;50
10237;39;180100;7023900;9;05.04.2019;506;Shipped;10;10;50
10251;43;164610;7078230;4;18.05.2019;464;Shipped;11;11;50
10263;41;203340;8336940;4;28.06.2019;424;Shipped;12;12;50
10275;36;191720;6901920;3;23.07.2019;400;Shipped;13;13;50
10285;27;201410;5438070;8;27.08.2019;366;Shipped;14;14;50
10299;29;230460;6683340;11;30.09.2019;333;Shipped;15;15;50
10210;34;180100;6123400;1;12.01.2019;587;Shipped;43;43;50
10308;20;228520;4570400;1;15.10.2019;319;Shipped;46;46;50
10318;37;207220;7667140;3;02.11.2019;302;Shipped;17;17;50
10329;26;225700;5868200;3;15.11.2019;290;Shipped;1;1;50
10339;39;76670;2990130;3;23.11.2019;283;Shipped;34;34;50
10362;22;166550;3664100;4;05.01.2020;241;Shipped;5;5;50
10374;22;174290;3834380;1;02.02.2020;214;Shipped;27;27;50
10388;21;86770;1822170;7;03.03.2020;185;Shipped;20;20;50
10403;66;180100;11886600;9;08.04.2020;150;Shipped;21;21;50
10417;56;164610;9218160;4;13.05.2020;116;Disputed;22;22;50
10140;37;199300;7374100;11;24.07.2018;705;Shipped;5;5;37
10347;30;131490;3944700;1;29.11.2019;229;Shipped;9;9;37
10103;26;207870;5404620;11;29.01.2018;878;Shipped;16;16;37
10270;21;233590;4905390;9;19.07.2019;356;Shipped;19;19;37
10424;50;240020;12001000;6;31.05.2020;50;In Process;22;22;37
10112;29;248590;7209110;1;24.03.2018;825;Shipped;23;23;37
10126;38;192870;7329060;11;28.05.2018;761;Shipped;24;24;37
10150;45;244300;10993500;8;19.09.2018;649;Shipped;25;25;37
10163;21;231440;4860240;1;20.10.2018;619;Shipped;26;26;37
10174;34;235730;8014820;4;06.11.2018;603;Shipped;27;27;37
10183;23;233590;5372570;8;13.11.2018;597;Shipped;28;28;37
10194;42;173580;7290360;11;25.11.2018;586;Shipped;29;29;37
10206;47;192870;9064890;6;05.12.2018;577;Shipped;30;30;37
10215;35;173580;6075300;3;29.01.2019;523;Shipped;31;31;37
10228;29;222870;6463230;2;10.03.2019;484;Shipped;32;32;37
10245;34;180010;6120340;9;04.05.2019;430;Shipped;33;33;37
10258;32;240020;7680640;6;15.06.2019;389;Shipped;34;34;37
10280;34;235730;8014820;2;17.08.2019;328;Shipped;35;35;37
10291;37;192870;7136190;11;08.09.2019;307;Shipped;36;36;37
10304;47;216440;10172680;6;11.10.2019;275;Shipped;37;37;37
10312;48;242160;11623680;3;21.10.2019;266;Shipped;38;38;37
10357;32;177870;5691840;10;10.12.2019;219;Shipped;38;38;37
10322;40;150010;6000400;1;04.11.2019;253;Shipped;39;39;37
10369;41;110120;4514920;2;20.01.2020;179;Shipped;40;40;37
10391;24;100690;2416560;4;09.03.2020;131;Shipped;41;41;37
10411;23;180010;4140230;9;01.05.2020;79;Shipped;42;42;37
10105;50;144160;7208000;2;11.02.2018;939;Shipped;47;47;22
10119;46;108800;5004800;11;28.04.2018;864;Shipped;18;18;22
10129;33;133280;4398240;2;12.06.2018;820;Shipped;48;48;22
10143;49;114240;5597760;15;10.08.2018;762;Shipped;49;49;22
10155;32;141440;4526080;13;06.10.2018;706;Shipped;15;15;22
10167;44;134640;5924160;9;23.10.2018;690;Cancelled;36;36;22
10178;24;145520;3492480;12;08.11.2018;675;Shipped;50;50;22
10186;26;148240;3854240;9;14.11.2018;670;Shipped;51;51;22
10197;45;118320;5324400;6;26.11.2018;659;Shipped;52;52;22
10222;49;122400;5997600;12;19.02.2019;575;Shipped;53;53;22
10248;20;145520;2910400;3;07.05.2019;499;Cancelled;1;1;22
10261;27;125120;3378240;1;17.06.2019;459;Shipped;42;42;22
10273;30;116960;3508800;4;21.07.2019;426;Shipped;54;54;22
10283;25;119680;2992000;6;20.08.2019;397;Shipped;55;55;22
10295;24;142800;3427200;1;10.09.2019;377;Shipped;56;56;22
10307;22;122400;2692800;9;14.10.2019;344;Shipped;28;28;22
10316;33;125120;4128960;17;01.11.2019;327;Shipped;57;57;22
10325;47;64930;3051710;6;05.11.2019;324;Shipped;16;16;22
10337;25;48050;1201250;8;21.11.2019;309;Shipped;26;26;22
10350;26;75470;1962220;5;02.12.2019;299;Shipped;22;22;22
10359;48;54680;2624640;6;15.12.2019;287;Shipped;2;2;22
10373;39;103750;4046250;3;31.01.2020;241;Shipped;58;58;22
10395;32;105330;3370560;2;17.03.2020;196;Shipped;3;3;22
10400;64;150960;9661440;9;01.04.2020;182;Shipped;59;59;22
10414;19;145520;2764880;3;06.05.2020;148;On Hold;56;56;22
10103;42;128530;5398260;4;29.01.2018;977;Shipped;16;16;29
10114;31;138880;4305280;8;01.04.2018;916;Shipped;60;60;29
10126;22;152170;3347740;4;28.05.2018;860;Shipped;24;24;29
10140;26;122620;3188120;4;24.07.2018;804;Shipped;5;5;29
10150;20;159560;3191200;1;19.09.2018;748;Shipped;25;25;29
10164;21;168420;3536820;2;21.10.2018;717;Resolved;61;61;29
10175;33;162510;5362830;9;06.11.2018;702;Shipped;48;48;29
10183;28;122620;3433360;1;13.11.2018;696;Shipped;28;28;29
10194;26;163990;4263740;4;25.11.2018;685;Shipped;29;29;29
10207;31;131490;4076190;15;09.12.2018;672;Shipped;62;62;29
10217;48;146260;7020480;4;04.02.2019;616;Shipped;63;63;29
10229;50;128530;6426500;9;11.03.2019;582;Shipped;38;38;29
10245;28;163990;4591720;2;04.05.2019;529;Shipped;33;33;29
10259;26;155130;4033380;12;15.06.2019;488;Shipped;63;63;29
10270;32;134440;4302080;2;19.07.2019;455;Shipped;19;19;29
10281;44;159560;7020640;9;19.08.2019;425;Shipped;17;17;29
10291;30;128530;3855900;4;08.09.2019;406;Shipped;36;36;29
10305;38;175810;6680780;13;13.10.2019;372;Shipped;14;14;29
10313;40;166950;6678000;7;22.10.2019;364;Shipped;30;30;29
10322;46;61990;2851540;8;04.11.2019;352;Shipped;39;39;29
10334;26;122620;3188120;2;19.11.2019;338;On Hold;23;23;29
10347;27;164000;4428000;2;29.11.2019;329;Shipped;9;9;29
10357;43;134440;5780920;9;10.12.2019;319;Shipped;38;38;29
10370;35;65630;2297050;4;20.01.2020;279;Shipped;41;41;29
10391;37;46900;1735300;7;09.03.2020;231;Shipped;41;41;29
10411;27;163990;4427730;2;01.05.2020;179;Shipped;42;42;29
10425;38;155130;5894940;12;31.05.2020;150;In Process;13;13;29
10108;33;159550;5265150;6;03.03.2018;971;Shipped;64;64;35
10122;42;180950;7599900;10;08.05.2018;906;Shipped;65;65;35
10135;42;190680;8008560;7;02.07.2018;852;Shipped;38;38;35
10147;48;192620;9245760;7;05.09.2018;788;Shipped;40;40;35
10169;30;167330;5019900;2;04.11.2018;729;Shipped;41;41;35
10181;27;200410;5411070;14;12.11.2018;722;Shipped;7;7;35
10191;21;182900;3840900;3;20.11.2018;715;Shipped;66;66;35
10203;20;196520;3930400;8;02.12.2018;704;Shipped;22;22;35
10211;41;182900;7498900;2;15.01.2019;661;Shipped;8;8;35
10225;27;167330;4517910;9;22.02.2019;624;Shipped;67;67;35
10238;28;206240;5774720;3;09.04.2019;579;Shipped;47;47;35
10253;24;163440;3922560;13;01.06.2019;527;Cancelled;21;21;35
10266;44;208190;9160360;14;06.07.2019;493;Shipped;68;68;35
10276;50;192620;9631000;3;02.08.2019;467;Shipped;69;69;35
10287;21;163440;3432240;12;30.08.2019;440;Shipped;67;67;35
10300;33;167330;5521890;5;04.10.2018;771;Shipped;70;70;35
10310;33;210140;6934620;10;16.10.2019;395;Shipped;66;66;35
10320;31;221810;6876110;3;03.11.2019;378;Shipped;23;23;35
10329;41;71470;2930270;5;15.11.2019;367;Shipped;1;1;35
10341;45;79650;3584250;2;24.11.2019;359;Shipped;18;18;35
10363;33;85390;2817870;3;06.01.2020;317;Shipped;71;71;35
10375;45;76000;3420000;7;03.02.2020;290;Shipped;13;13;35
10389;26;99040;2575040;4;03.03.2020;262;Shipped;36;36;35
10419;12;163440;1961280;13;17.05.2020;188;Shipped;18;18;35
10105;41;211960;8690360;15;11.02.2018;1015;Shipped;47;47;36
10117;33;182860;6034380;9;16.04.2018;952;Shipped;25;25;36
10127;46;245200;11279200;2;03.06.2018;905;Shipped;72;72;36
10142;33;243130;8023290;12;08.08.2018;840;Shipped;38;38;36
10153;20;245200;4904000;11;28.09.2018;790;Shipped;22;22;36
10165;44;195330;8594520;3;22.10.2018;767;Shipped;25;25;36
10176;33;226500;7474500;2;06.11.2018;753;Shipped;68;68;36
10185;21;184940;3883740;13;14.11.2018;746;Shipped;49;49;36
10196;47;189100;8887700;5;26.11.2018;735;Shipped;33;33;36
10208;46;187020;8602920;13;02.01.2019;699;Shipped;29;29;36
10220;32;224420;7181440;2;12.02.2019;659;Shipped;73;73;36
10231;42;199490;8378580;2;19.03.2019;625;Shipped;74;74;36
10247;44;241050;10606200;2;05.05.2019;579;Shipped;71;71;36
10272;35;166240;5818400;2;20.07.2019;504;Shipped;17;17;36
10282;41;172470;7071270;5;20.08.2019;474;Shipped;38;38;36
10293;46;182860;8411560;8;09.09.2019;455;Shipped;35;35;36
10306;31;211960;6570760;13;14.10.2019;421;Shipped;75;75;36
10314;38;209880;7975440;5;22.10.2019;414;Shipped;76;76;36
10325;42;64000;2688000;8;05.11.2019;401;Shipped;16;16;36
10336;33;57220;1888260;10;20.11.2019;387;Shipped;60;60;36
10348;48;52360;2513280;8;01.11.2019;407;Shipped;24;24;36
10359;42;113440;4764480;8;15.12.2019;364;Shipped;2;2;36
10371;32;111270;3560640;6;23.01.2020;326;Shipped;38;38;36
10382;34;112460;3823640;10;17.02.2020;302;Shipped;38;38;36
10395;33;69120;2280960;1;17.03.2020;274;Shipped;3;3;36
10413;36;241050;8677800;2;05.05.2020;226;Shipped;12;12;36
10103;27;125740;3394980;8;29.01.2018;1054;Shipped;16;16;85
10113;21;162640;3415440;2;26.03.2018;999;Shipped;38;38;85
10126;21;116170;2439570;8;28.05.2018;937;Shipped;24;24;85
10140;38;127100;4829800;8;24.07.2018;881;Shipped;5;5;85
10150;30;136670;4100100;5;19.09.2018;825;Shipped;25;25;85
10164;49;133940;6563060;6;21.10.2018;794;Resolved;61;61;85
10174;43;158540;6817220;1;06.11.2018;779;Shipped;27;27;85
10183;41;150340;6163940;5;13.11.2018;773;Shipped;28;28;85
10194;38;129840;4933920;8;25.11.2018;762;Shipped;29;29;85
10206;28;144870;4056360;3;05.12.2018;753;Shipped;30;30;85
10216;43;133940;5759420;1;02.02.2019;695;Shipped;37;37;85
10229;25;138040;3451000;13;11.03.2019;659;Shipped;38;38;85
10245;38;155800;5920400;6;04.05.2019;606;Shipped;33;33;85
10258;41;162640;6668240;3;15.06.2019;565;Shipped;34;34;85
10270;28;146240;4094720;6;19.07.2019;532;Shipped;19;19;85
10281;25;117540;2938500;13;19.08.2019;502;Shipped;17;17;85
10291;41;155800;6387800;8;08.09.2019;483;Shipped;36;36;85
10304;39;164000;6396000;3;11.10.2019;451;Shipped;37;37;85
10313;21;127100;2669100;11;22.10.2019;441;Shipped;30;30;85
10322;27;177190;4784130;9;04.11.2019;429;Shipped;39;39;85
10347;29;123670;3586430;3;29.11.2019;405;Shipped;9;9;85
10357;49;121640;5960360;8;10.12.2019;395;Shipped;38;38;85
10370;49;172860;8470140;8;20.01.2020;355;Shipped;41;41;85
10391;39;63200;2464800;9;09.03.2020;307;Shipped;41;41;85
10411;40;155800;6232000;6;01.05.2020;255;Shipped;42;42;85
10424;49;162640;7969360;3;31.05.2020;226;In Process;22;22;85
10107;21;144600;3036600;1;24.02.2018;1054;Shipped;1;1;49
10121;50;165680;8284000;4;07.05.2018;983;Shipped;2;2;49
10134;20;135560;2711200;1;01.07.2018;929;Shipped;3;3;49
10145;49;170200;8339800;5;25.08.2018;875;Shipped;4;4;49
10169;35;132550;4639250;13;04.11.2018;805;Shipped;41;41;49
10180;40;168690;6747600;8;11.11.2018;799;Shipped;6;6;49
10189;28;161160;4512480;1;18.11.2018;793;Shipped;4;4;49
10211;36;132550;4771800;13;15.01.2019;736;Shipped;8;8;49
10224;43;141580;6087940;6;21.02.2019;700;Shipped;6;6;49
10237;32;131040;4193280;6;05.04.2019;658;Shipped;10;10;49
10251;46;164180;7552280;1;18.05.2019;616;Shipped;11;11;49
10263;48;134050;6434400;1;28.06.2019;576;Shipped;12;12;49
10276;43;120500;5181500;14;02.08.2019;542;Shipped;69;69;49
10285;49;140080;6863920;5;27.08.2019;518;Shipped;14;14;49
10299;24;173210;4157040;8;30.09.2019;485;Shipped;15;15;49
10309;26;179240;4660240;4;15.10.2019;471;Shipped;16;16;49
10319;30;137060;4111800;9;03.11.2019;453;Shipped;77;77;49
10329;24;147610;3542640;6;15.11.2019;442;Shipped;1;1;49
10341;55;147610;8118550;8;24.11.2019;434;Shipped;18;18;49
10362;22;176230;3877060;1;05.01.2020;393;Shipped;5;5;49
10375;49;78920;3867080;13;03.02.2020;365;Shipped;13;13;49
10388;44;135260;5951440;6;03.03.2020;337;Shipped;20;20;49
10403;66;131040;8648640;6;08.04.2020;302;Shipped;21;21;49
10417;21;164180;3447780;1;13.05.2020;268;Disputed;22;22;49
10104;34;175250;5958500;1;31.01.2018;1102;Shipped;22;22;31
10117;43;137480;5911640;10;16.04.2018;1028;Shipped;25;25;31
10127;46;160140;7366440;3;03.06.2018;981;Shipped;72;72;31
10142;33;151080;4985640;13;08.08.2018;916;Shipped;38;38;31
10153;42;128420;5393640;12;28.09.2018;866;Shipped;22;22;31
10165;34;143530;4880020;4;22.10.2018;843;Shipped;25;25;31
10176;47;178270;8378690;3;06.11.2018;829;Shipped;68;68;31
10185;33;122370;4038210;14;14.11.2018;822;Shipped;49;49;31
10196;24;158630;3807120;6;26.11.2018;811;Shipped;33;33;31
10208;26;120860;3142360;14;02.01.2019;775;Shipped;29;29;31
10220;30;157120;4713600;3;12.02.2019;735;Shipped;73;73;31
10230;43;163170;7016310;1;15.03.2019;705;Shipped;70;70;31
10247;25;175250;4381250;3;05.05.2019;655;Shipped;71;71;31
10272;27;158630;4283010;3;20.07.2019;580;Shipped;17;17;31
10282;27;161660;4364820;6;20.08.2019;550;Shipped;38;38;31
10293;24;176760;4242240;9;09.09.2019;531;Shipped;35;35;31
10306;34;146550;4982700;14;14.10.2019;497;Shipped;75;75;31
10314;46;138990;6393540;6;22.10.2019;490;Shipped;76;76;31
10324;27;54330;1466910;1;05.11.2019;477;Shipped;10;10;31
10336;33;123010;4059330;11;20.11.2019;463;Shipped;60;60;31
10348;47;102160;4801520;4;01.11.2019;483;Shipped;24;24;31
10358;49;55340;2711660;5;10.12.2019;445;Shipped;22;22;31
10372;40;146550;5862000;4;26.01.2020;399;Shipped;34;34;31
10382;37;110050;4071850;11;17.02.2020;378;Shipped;38;38;31
10413;47;175250;8236750;3;05.05.2020;301;Shipped;12;12;31
10108;45;136230;6130350;4;03.03.2018;1096;Shipped;64;64;17
10122;37;99820;3693340;8;08.05.2018;1031;Shipped;65;65;17
10135;48;125660;6031680;5;02.07.2018;977;Shipped;38;38;17
10147;31;112740;3494940;5;05.09.2018;913;Shipped;40;40;17
10170;47;116270;5464690;4;04.11.2018;854;Shipped;61;61;17
10181;28;102170;2860760;12;12.11.2018;847;Shipped;7;7;17
10191;40;139750;5590000;1;20.11.2018;840;Shipped;66;66;17
10203;20;112740;2254800;6;02.12.2018;829;Shipped;22;22;17
10212;39;126840;4946760;16;16.01.2019;785;Shipped;22;22;17
10225;25;99820;2495500;7;22.02.2019;749;Shipped;67;67;17
10238;29;109220;3167380;1;09.04.2019;704;Shipped;47;47;17
10253;22;109220;2402840;11;01.06.2019;652;Cancelled;21;21;17
10266;22;111570;2454540;12;06.07.2019;618;Shipped;68;68;17
10276;47;116270;5464690;1;02.08.2019;592;Shipped;69;69;17
10287;45;105700;4756500;10;30.08.2019;565;Shipped;67;67;17
10300;29;137400;3984600;3;04.10.2018;896;Shipped;70;70;17
10310;24;129180;3100320;8;16.10.2019;520;Shipped;66;66;17
10320;35;138580;4850300;1;03.11.2019;503;Shipped;23;23;17
10329;46;83630;3846980;13;15.11.2019;492;Shipped;1;1;17
10341;44;95930;4220920;1;24.11.2019;484;Shipped;18;18;17
10363;34;96730;3288820;4;06.01.2020;442;Shipped;71;71;17
10376;35;113920;3987200;1;08.02.2020;410;Shipped;78;78;17
10389;25;72380;1809500;6;03.03.2020;387;Shipped;36;36;17
10419;10;109220;1092200;11;17.05.2020;313;Shipped;18;18;17
10105;29;157450;4566050;14;11.02.2018;1140;Shipped;47;47;34
10117;39;152260;5938140;8;16.04.2018;1077;Shipped;25;25;34
10127;42;193780;8138760;1;03.06.2018;1030;Shipped;72;72;34
10142;46;205890;9470940;11;08.08.2018;965;Shipped;38;38;34
10153;49;143610;7036890;10;28.09.2018;915;Shipped;22;22;34
10165;27;205890;5559030;2;22.10.2018;892;Shipped;25;25;34
10176;50;157450;7872500;1;06.11.2018;878;Shipped;68;68;34
10185;43;183400;7886200;12;14.11.2018;871;Shipped;49;49;34
10196;38;190320;7232160;4;26.11.2018;860;Shipped;33;33;34
10208;20;155720;3114400;12;02.01.2019;824;Shipped;29;29;34
10220;27;186860;5045220;1;12.02.2019;784;Shipped;73;73;34
10231;49;141880;6952120;1;19.03.2019;750;Shipped;74;74;34
10247;27;153990;4157730;1;05.05.2019;704;Shipped;71;71;34
10272;39;204160;7962240;1;20.07.2019;629;Shipped;17;17;34
10282;24;157450;3778800;4;20.08.2019;599;Shipped;38;38;34
10293;45;183400;8253000;7;09.09.2019;580;Shipped;35;35;34
10306;20;181670;3633400;12;14.10.2019;546;Shipped;75;75;34
10314;36;192050;6913800;4;22.10.2019;539;Shipped;76;76;34
10325;24;107650;2583600;1;05.11.2019;526;Shipped;16;16;34
10336;49;63380;3105620;1;20.11.2019;512;Shipped;60;60;34
10349;26;169560;4408560;10;01.12.2019;502;Shipped;72;72;34
10359;49;62090;3042410;5;15.12.2019;489;Shipped;2;2;34
10372;34;174750;5941500;1;26.01.2020;448;Shipped;34;34;34
10382;34;95350;3241900;12;17.02.2020;427;Shipped;38;38;34
10396;33;185130;6109290;3;23.03.2020;393;Shipped;38;38;34
10413;22;153990;3387780;1;05.05.2020;351;Shipped;12;12;34
10108;39;89380;3485820;7;03.03.2018;1146;Shipped;64;64;9
10122;32;63840;2042880;11;08.05.2018;1081;Shipped;65;65;9
10135;24;75010;1800240;8;02.07.2018;1027;Shipped;38;38;9
10147;21;63840;1340640;8;05.09.2018;963;Shipped;40;40;9
10169;36;63840;2298240;3;04.11.2018;904;Shipped;41;41;9
10181;20;81400;1628000;15;12.11.2018;897;Shipped;7;7;9
10191;30;64640;1939200;4;20.11.2018;890;Shipped;66;66;9
10203;44;82990;3651560;9;02.12.2018;879;Shipped;22;22;9
10211;28;92570;2591960;3;15.01.2019;836;Shipped;8;8;9
10225;37;77410;2864170;10;22.02.2019;799;Shipped;67;67;9
10238;20;74210;1484200;4;09.04.2019;754;Shipped;47;47;9
10253;25;90170;2254250;14;01.06.2019;702;Cancelled;21;21;9
10266;35;76610;2681350;15;06.07.2019;668;Shipped;68;68;9
10276;38;83790;3184020;4;02.08.2019;642;Shipped;69;69;9
10287;41;69430;2846630;13;30.08.2019;615;Shipped;67;67;9
10300;22;76610;1685420;6;04.10.2018;946;Shipped;70;70;9
10310;49;81400;3988600;11;16.10.2019;570;Shipped;66;66;9
10320;38;73420;2789960;4;03.11.2019;553;Shipped;23;23;9
10329;33;109320;3607560;14;15.11.2019;542;Shipped;1;1;9
10341;36;93560;3368160;10;24.11.2019;534;Shipped;18;18;9
10363;34;81620;2775080;5;06.01.2020;492;Shipped;71;71;9
10377;24;67830;1627920;5;09.02.2020;459;Shipped;15;15;9
10389;36;70260;2529360;7;03.03.2020;437;Shipped;36;36;9
10419;34;90170;3065780;14;17.05.2020;363;Shipped;18;18;9
10104;41;112580;4615780;9;31.01.2018;1201;Shipped;22;22;81
10115;46;124430;5723780;5;04.04.2018;1139;Shipped;26;26;81
10127;24;106650;2559600;11;03.06.2018;1080;Shipped;72;72;81
10141;21;101910;2140110;5;01.08.2018;1022;Shipped;71;71;81
10151;24;138650;3327600;3;21.09.2018;972;Shipped;58;58;81
10165;48;142200;6825600;12;22.10.2018;942;Shipped;25;25;81
10175;26;136280;3543280;1;06.11.2018;928;Shipped;48;48;81
10184;37;122060;4516220;6;14.11.2018;921;Shipped;79;79;81
10195;49;131540;6445460;6;25.11.2018;911;Shipped;46;46;81
10207;34;99540;3384360;7;09.12.2018;898;Shipped;62;62;81
10219;48;101910;4891680;2;10.02.2019;836;Shipped;80;80;81
10229;36;125610;4521960;1;11.03.2019;808;Shipped;38;38;81
10246;46;110210;5069660;5;05.05.2019;754;Shipped;22;22;81
10259;46;142200;6541200;4;15.06.2019;714;Shipped;63;63;81
10271;31;97170;3012270;5;20.07.2019;680;Shipped;38;38;81
10281;41;127980;5247180;1;19.08.2019;651;Shipped;17;17;81
10292;21;105470;2214870;8;08.09.2019;632;Shipped;1;1;81
10305;38;125610;4773180;5;13.10.2019;598;Shipped;14;14;81
10314;45;137460;6185700;14;22.10.2019;590;Shipped;76;76;81
10324;26;58380;1517880;7;05.11.2019;577;Shipped;10;10;81
10336;38;167700;6372600;3;20.11.2019;563;Shipped;60;60;81
10349;48;109020;5232960;9;01.12.2019;553;Shipped;72;72;81
10358;42;64160;2694720;9;10.12.2019;545;Shipped;22;22;81
10371;49;35710;1749790;4;23.01.2020;502;Shipped;38;38;81
10382;32;66580;2130560;13;17.02.2020;478;Shipped;38;38;81
10412;54;110210;5951340;5;03.05.2020;403;Shipped;22;22;81
10425;33;142200;4692600;4;31.05.2020;376;In Process;13;13;81
10108;36;103640;3731040;3;03.03.2018;1197;Shipped;64;64;16
10122;20;107100;2142000;7;08.05.2018;1132;Shipped;65;65;16
10135;29;97890;2838810;4;02.07.2018;1078;Shipped;38;38;16
10147;33;97890;3230370;4;05.09.2018;1014;Shipped;40;40;16
10170;41;107100;4391100;3;04.11.2018;955;Shipped;61;61;16
10181;36;124370;4477320;11;12.11.2018;948;Shipped;7;7;16
10192;27;131280;3544560;16;20.11.2018;941;Shipped;39;39;16
10203;47;110550;5195850;5;02.12.2018;930;Shipped;22;22;16
10212;33;126680;4180440;15;16.01.2019;886;Shipped;22;22;16
10225;21;127830;2684430;6;22.02.2019;850;Shipped;67;67;16
10239;21;93280;1958880;5;12.04.2019;802;Shipped;58;58;16
10253;41;119770;4910570;10;01.06.2019;753;Cancelled;21;21;16
10266;40;111710;4468400;11;06.07.2019;719;Shipped;68;68;16
10277;28;111710;3127880;1;04.08.2019;691;Shipped;25;25;16
10287;23;116310;2675130;9;30.08.2019;666;Shipped;67;67;16
10300;23;122070;2807610;2;04.10.2018;997;Shipped;70;70;16
10310;25;100190;2504750;7;16.10.2019;621;Shipped;66;66;16
10321;24;124370;2984880;15;04.11.2019;603;Shipped;20;20;16
10329;39;64740;2524860;15;15.11.2019;593;Shipped;1;1;16
10341;55;75200;4136000;7;24.11.2019;585;Shipped;18;18;16
10363;46;88450;4068700;6;06.01.2020;543;Shipped;71;71;16
10377;50;103640;5182000;1;09.02.2020;510;Shipped;15;15;16
10389;47;111570;5243790;8;03.03.2020;488;Shipped;36;36;16
10405;97;93280;9048160;5;14.04.2020;447;Shipped;81;81;16
10419;32;119770;3832640;10;17.05.2020;415;Shipped;18;18;16
10103;35;112000;3920000;10;29.01.2018;1255;Shipped;16;16;80
10113;49;100340;4916660;4;26.03.2018;1200;Shipped;38;38;80
10126;38;101500;3857000;10;28.05.2018;1138;Shipped;24;24;80
10140;32;130670;4181440;10;24.07.2018;1082;Shipped;5;5;80
10150;34;136500;4641000;7;19.09.2018;1026;Shipped;25;25;80
10164;36;99170;3570120;8;21.10.2018;995;Resolved;61;61;80
